utr,credit_amount,credit_date,narration,settlement_id_ref
UTR1218766437,1368.74,2026-07-12,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY,stl_CHZIZKHF
UTR5153416167,6664.72,2026-07-17,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY (BATCH 4 ORDERS),stl_WVTQQENJ
UTR4691243324,3849.33,2026-07-15,NEFT RAZORPAY SETTLEMENT (2/2),stl_ORIOQFDE
UTR2146166823,3567.41,2026-07-25,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY,stl_UMNXMGIP
UTR6259304075,3546.75,2026-07-12,NEFT RAZORPAY SETTLEMENT MERCH_FRESHCART,stl_TBULECCH
UTR3155056963,512.64,2026-07-12,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY,stl_ZTDUOZUH
UTR3230455397,1032.15,2026-07-03,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,
UTR5211785025,4999.64,2026-07-19,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_BMOEEEUT
UTR6337857655,755.92,2026-07-17,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY,stl_UFBOPJGV
UTR0695398045,1974.75,2026-07-22,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_XJSYEVAN
UTR4701746814,3758.08,2026-07-21,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_XDUCLMHO
UTR4134238445,-682.78,2026-07-27,RAZORPAY REFUND ADJUSTMENT ORD1057,stl_OPMDPGTU
UTR9219637843,-1134.46,2026-08-02,CHARGEBACK DEBIT MERCH_URBANKART REF ORD1059,
UTR2243933283,4387.66,2026-07-25,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,
UTR7316901913,3109.39,2026-07-06,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_QZKLIEYG
UTR9343338300,480.83,2026-07-21,NEFT RAZORPAY SETTLEMENT MERCH_FRESHCART,stl_WRRNRUKS
UTR3674308172,5392.3,2026-07-07,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY,stl_VZDLUUEZ
UTR7028619625,1402.53,2026-07-17,NEFT RAZORPAY SETTLEMENT MERCH_FRESHCART,stl_LOZWBKMA
UTR6923691118,4643.93,2026-07-03,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_QZPEUQXI
UTR9283838389,2236.98,2026-07-04,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY,stl_SHBBYOAH
UTR8082940619,730.59,2026-07-21,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_LFWDSZBO
UTR8483598829,2584.99,2026-07-09,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_VYSGNTKQ
UTR7818009948,3849.33,2026-07-13,NEFT RAZORPAY SETTLEMENT (1/2),stl_ORIOQFDE
UTR5570848882,1212.61,2026-07-18,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_LYAFDLEJ
UTR0171851337,5924.82,2026-07-17,NEFT RAZORPAY SETTLEMENT MERCH_FRESHCART,stl_MBXRPXJY
UTR6178085016,1328.09,2026-07-24,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,
UTR4572733403,-830.48,2026-07-18,RAZORPAY REFUND ADJUSTMENT ORD1056,stl_TBULECCH
UTR4142207097,5114.76,2026-07-14,NEFT RAZORPAY SETTLEMENT MERCH_FRESHCART,stl_NYBHSRDE
UTR2632154710,9351.55,2026-07-06,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_IVISXXBW
UTR6891718906,1487.33,2026-07-18,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_GQQRVJIG
UTR1433615449,2375.7,2026-07-22,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY,stl_YIVTVWZJ
UTR9740542938,4829.24,2026-07-17,NEFT RAZORPAY SETTLEMENT MERCH_FRESHCART,stl_FEBOSHFX
UTR5775355721,3857.93,2026-07-08,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY,stl_REWFRKJP
UTR9548265917,3848.61,2026-07-21,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_VQYZJXJP
UTR3171008989,4617.58,2026-07-21,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_XHTGOWVG
UTR6934288497,5109.08,2026-07-06,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY,stl_JOKHGJQT
UTR9263166277,3824.64,2026-07-20,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_ORXWISHG
UTR9203221549,4195.1,2026-07-23,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_OVNRHIDJ
UTR3307666193,1821.61,2026-07-19,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY,stl_ZGSYEBRA
UTR7569964776,4483.62,2026-07-21,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_UQYJZFMG
UTR7170673491,3300.73,2026-07-17,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY,stl_XERIGQZR
UTR4218096792,3762.05,2026-07-20,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY,stl_GEONYLGC
UTR3639532275,3676.17,2026-07-09,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_QMOBZZWM
UTR2852728877,4696.24,2026-07-03,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_FBNZEBZC
UTR6794965824,2659.53,2026-07-16,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_DWHJHXCI
UTR6079113021,1773.33,2026-07-05,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_GIROTLLM
UTR9751049049,5742.82,2026-07-18,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_AYOHFRUT
UTR1730868724,2835.15,2026-07-11,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_GTBYMAMR
UTR2374095461,3720.11,2026-07-07,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_NLZMPKGC
UTR1567685639,7737.58,2026-07-11,NEFT RAZORPAY SETTLEMENT MERCH_FRESHCART,stl_GLDIRDEW
UTR6954913173,4013.48,2026-07-18,NEFT RAZORPAY SETTLEMENT MERCH_FRESHCART,stl_BUDSUNBU
UTR4030757369,1488.18,2026-08-01,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_IZZYHYHX
UTR9097687401,8896.96,2026-07-18,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART (BATCH 5 ORDERS),stl_MTDKCLUJ
UTR5462576123,1776.9,2026-07-20,NEFT RAZORPAY SETTLEMENT MERCH_FRESHCART,stl_OPMDPGTU
UTR9748212378,4798.91,2026-07-15,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY,stl_GQPVTZQA
UTR8474844003,6898.84,2026-07-09,NEFT RAZORPAY SETTLEMENT MERCH_GADGETBAY,stl_FASHZMTX
UTR5892152758,5222.83,2026-07-22,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_RACPDCLS
UTR4624887476,5329.36,2026-07-28,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_MTEMGOCL
UTR6603653282,13285.03,2026-07-05,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART (BATCH 6 ORDERS),stl_VKSLLDZN
UTR9522981706,1087.9,2026-07-19,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_MJHASRXP
UTR1111465697,914.82,2026-07-09,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_ANQYYLAM
UTR5515471723,1256.55,2026-07-10,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_MXFIPEKA
UTR1336148540,6297.43,2026-07-13,NEFT RAZORPAY SETTLEMENT MERCH_STYLEHIVE,stl_DUPNGUZP
UTR1475423555,624.54,2026-07-17,NEFT RAZORPAY SETTLEMENT MERCH_FRESHCART,stl_TXAETNQM
UTR7283783266,5048.59,2026-07-08,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_HIPTGADD
UTR0516993895,1724.35,2026-07-13,NEFT RAZORPAY SETTLEMENT MERCH_URBANKART,stl_VXZMMKGG
