order_id,merchant_id,invoice_amount,expected_settlement_amount,recorded_date,status
ORD1050,MERCH_URBANKART,2484.08,2400.62,2026-07-08,OPEN
ORD1020,MERCH_URBANKART,1068.03,1057.35,2026-07-01,OPEN
ORD1055,MERCH_URBANKART,5205.82,5030.9,2026-07-01,OPEN
ORD1069,MERCH_URBANKART,2687.46,2597.17,2026-07-03,OPEN
ORD1057,MERCH_FRESHCART,1838.68,1776.9,2026-07-18,OPEN
ORD1008,MERCH_STYLEHIVE,5404.42,5222.83,2026-07-20,OPEN
ORD1051,MERCH_STYLEHIVE,1279.59,1236.59,2026-07-17,OPEN
ORD1012,MERCH_STYLEHIVE,3803.98,3676.17,2026-07-07,OPEN
ORD1075,MERCH_GADGETBAY,1807.25,1746.52,2026-07-15,OPEN
ORD1035,MERCH_FRESHCART,647.38,625.63,2026-07-15,OPEN
ORD1036,MERCH_GADGETBAY,533.51,515.58,2026-07-10,OPEN
ORD1010,MERCH_STYLEHIVE,946.63,914.82,2026-07-07,OPEN
ORD1070,MERCH_URBANKART,2293.34,2216.28,2026-07-03,OPEN
ORD1001,MERCH_GADGETBAY,3892.85,3762.05,2026-07-18,OPEN
ORD1024,MERCH_FRESHCART,8006.6,7817.65,2026-07-09,OPEN
ORD1061,MERCH_URBANKART,1889.3,1825.82,2026-07-16,OPEN
ORD1072,MERCH_URBANKART,2311.1,2233.45,2026-07-03,OPEN
ORD1046,MERCH_GADGETBAY,3798.87,3671.22,2026-07-20,OPEN
ORD1059,MERCH_URBANKART,1254.78,1212.61,2026-07-16,OPEN
ORD1031,MERCH_STYLEHIVE,2753.0,2660.5,2026-07-14,OPEN
ORD1058,MERCH_FRESHCART,7966.33,7698.66,2026-07-11,OPEN
ORD1077,MERCH_GADGETBAY,1737.78,1679.38,2026-07-15,OPEN
ORD1045,MERCH_GADGETBAY,3415.49,3300.73,2026-07-09,OPEN
ORD1067,MERCH_URBANKART,2062.45,1993.16,2026-07-03,OPEN
ORD1007,MERCH_GADGETBAY,4965.77,4798.91,2026-07-13,OPEN
ORD1037,MERCH_STYLEHIVE,756.89,731.45,2026-07-19,OPEN
