settlement_id,payment_id,order_id,merchant_id,gross_amount,mdr_fee,gst_on_mdr,tds_amount,refund_amount,net_amount,settlement_date
stl_MXFIPEKA,pay_TMHTTMKBOQ,ORD1050,MERCH_URBANKART,2484.08,49.68,8.94,24.84,0.0,1256.55,2026-07-10
stl_NBQISXBC,pay_FIVBEHUGMA,ORD1020,MERCH_URBANKART,1068.03,21.36,3.84,10.68,0.0,1032.15,2026-07-03
stl_QZPEUQXI,pay_GZDESGHPIT,ORD1055,MERCH_URBANKART,5205.82,104.12,18.74,52.06,0.0,4643.93,2026-07-03
stl_VKSLLDZN,pay_NRGXDJUXXI,ORD1069,MERCH_URBANKART,2687.46,53.75,9.67,26.87,0.0,2597.17,2026-07-05
stl_OPMDPGTU,pay_UWEBLOSJMI,ORD1057,MERCH_FRESHCART,1838.68,36.77,6.62,18.39,0.0,1776.9,2026-07-20
stl_RACPDCLS,pay_PNNERNNVBE,ORD1008,MERCH_STYLEHIVE,5404.42,108.09,19.46,54.04,0.0,5222.83,2026-07-22
stl_MJHASRXP,pay_KIIJEJQKVV,ORD1051,MERCH_STYLEHIVE,1279.59,25.59,4.61,12.8,0.0,1087.9,2026-07-19
stl_QMOBZZWM,pay_KWVQCFPUZQ,ORD1012,MERCH_STYLEHIVE,3803.98,76.08,13.69,38.04,0.0,3676.17,2026-07-09
stl_WVTQQENJ,pay_PHFVVBZJEL,ORD1075,MERCH_GADGETBAY,1807.25,36.15,6.51,18.07,0.0,1746.52,2026-07-17
stl_TXAETNQM,pay_UFIFBKKFRD,ORD1035,MERCH_FRESHCART,647.38,12.95,2.33,6.47,0.0,624.54,2026-07-17
stl_ZTDUOZUH,pay_HUTCKMRRCH,ORD1036,MERCH_GADGETBAY,533.51,10.67,1.92,5.34,0.0,512.64,2026-07-12
stl_ANQYYLAM,pay_WFREEAYBFK,ORD1010,MERCH_STYLEHIVE,946.63,18.93,3.41,9.47,0.0,914.82,2026-07-09
stl_VKSLLDZN,pay_FYUQXHQDTZ,ORD1070,MERCH_URBANKART,2293.34,45.87,8.26,22.93,0.0,2216.28,2026-07-05
stl_GEONYLGC,pay_CJXDCGLMLZ,ORD1001,MERCH_GADGETBAY,3892.85,77.86,14.01,38.93,0.0,3762.05,2026-07-20
stl_GLDIRDEW,pay_EJMLHNLKSR,ORD1024,MERCH_FRESHCART,8006.6,160.13,28.82,80.07,0.0,7737.58,2026-07-11
stl_MTDKCLUJ,pay_HLKOILYUPN,ORD1061,MERCH_URBANKART,1889.3,37.79,6.8,18.89,0.0,1825.82,2026-07-18
stl_VKSLLDZN,pay_YJNRITCZIY,ORD1072,MERCH_URBANKART,2311.1,46.22,8.32,23.11,0.0,2233.45,2026-07-05
stl_YIVTVWZJ,pay_DXAZUNNJSO,ORD1046,MERCH_GADGETBAY,3798.87,75.98,13.68,37.99,0.0,2375.7,2026-07-22
stl_LYAFDLEJ,pay_UJBLYJCNDW,ORD1059,MERCH_URBANKART,1254.78,25.1,4.52,12.55,0.0,1212.61,2026-07-18
stl_DWHJHXCI,pay_PMTHDNADHN,ORD1031,MERCH_STYLEHIVE,2753.0,55.06,9.91,27.53,0.0,2659.53,2026-07-16
stl_ORIOQFDE,pay_ZQHHLHOTLQ,ORD1058,MERCH_FRESHCART,7966.33,159.33,28.68,79.66,0.0,7698.66,2026-07-13
stl_WVTQQENJ,pay_XKTQQLPEYN,ORD1077,MERCH_GADGETBAY,1737.78,34.76,6.26,17.38,0.0,1679.38,2026-07-17
stl_XERIGQZR,pay_UTZEJTDQTE,ORD1045,MERCH_GADGETBAY,3415.49,68.31,12.3,34.15,0.0,3300.73,2026-07-17
stl_VKSLLDZN,pay_ENZNMDWTEC,ORD1067,MERCH_URBANKART,2062.45,41.25,7.42,20.62,0.0,1993.16,2026-07-05
stl_GQPVTZQA,pay_RYEMFADGGC,ORD1007,MERCH_GADGETBAY,4965.77,99.32,17.88,49.66,0.0,4798.91,2026-07-15
stl_LFWDSZBO,pay_VKXZYIJLKL,ORD1037,MERCH_STYLEHIVE,756.89,15.14,2.73,7.57,0.0,730.59,2026-07-21
stl_UQYJZFMG,pay_HIQPKVDPYC,ORD1053,MERCH_STYLEHIVE,4941.59,98.83,17.79,49.42,0.0,4483.62,2026-07-21
stl_IZZYHYHX,pay_VQJXFEOZDN,ORD1042,MERCH_STYLEHIVE,1539.92,30.8,5.54,15.4,0.0,1488.18,2026-08-01
stl_HIPTGADD,pay_XRRVFTVAAW,ORD1004,MERCH_URBANKART,5224.12,104.48,18.81,52.24,0.0,5048.59,2026-07-08
stl_NDILEKIY,pay_EFNLOPAMXX,ORD1006,MERCH_URBANKART,4540.2,90.8,16.34,45.4,0.0,4387.66,2026-07-25
stl_QZKLIEYG,pay_WONDORQTVN,ORD1027,MERCH_URBANKART,3217.49,64.35,11.58,32.17,0.0,3109.39,2026-07-06
stl_JOKHGJQT,pay_LSFWOCHJSU,ORD1018,MERCH_GADGETBAY,5286.71,105.73,19.03,52.87,0.0,5109.08,2026-07-06
stl_NLZMPKGC,pay_HZANARZLTB,ORD1005,MERCH_URBANKART,3849.45,76.99,13.86,38.49,0.0,3720.11,2026-07-07
stl_WVTQQENJ,pay_XEZRDYFLTE,ORD1076,MERCH_GADGETBAY,1748.61,34.97,6.29,17.49,0.0,1689.86,2026-07-17
stl_XHTGOWVG,pay_ZORZBGMKRW,ORD1023,MERCH_STYLEHIVE,4778.12,95.56,17.2,47.78,0.0,4617.58,2026-07-21
stl_BUDSUNBU,pay_BHKHHVHHBA,ORD1054,MERCH_FRESHCART,4539.25,90.78,16.34,45.39,0.0,4013.48,2026-07-18
stl_GIROTLLM,pay_EUOVCYFGJN,ORD1047,MERCH_STYLEHIVE,4054.05,81.08,14.59,40.54,0.0,1773.33,2026-07-05
stl_BMOEEEUT,pay_LILCBEWSTC,ORD1009,MERCH_URBANKART,5173.46,103.47,18.62,51.73,0.0,4999.64,2026-07-19
stl_VKSLLDZN,pay_ICNTABEISI,ORD1071,MERCH_URBANKART,1409.93,28.2,5.08,14.1,0.0,1362.55,2026-07-05
stl_LOZWBKMA,pay_LYQITWQVYN,ORD1052,MERCH_FRESHCART,1553.15,31.06,5.59,15.53,0.0,1402.53,2026-07-17
stl_UFBOPJGV,pay_ITYIFVFRVG,ORD1038,MERCH_GADGETBAY,782.2,15.64,2.82,7.82,0.0,755.92,2026-07-17
stl_WVTQQENJ,pay_DFYVSFTROK,ORD1074,MERCH_GADGETBAY,1602.82,32.06,5.77,16.03,0.0,1548.96,2026-07-17
stl_VXZMMKGG,pay_XAOSCMLADX,ORD1025,MERCH_URBANKART,1784.3,35.69,6.42,17.84,0.0,1724.35,2026-07-13
stl_MBXRPXJY,pay_WTPYKBPIZD,ORD1014,MERCH_FRESHCART,6130.82,122.62,22.07,61.31,0.0,5924.82,2026-07-17
stl_VKSLLDZN,pay_AEDSRXRNBH,ORD1068,MERCH_URBANKART,2982.64,59.65,10.74,29.83,0.0,2882.42,2026-07-05
stl_GQQRVJIG,pay_QCZGDWMPYA,ORD1028,MERCH_STYLEHIVE,1539.04,30.78,5.54,15.39,0.0,1487.33,2026-07-18
stl_MTEMGOCL,pay_ZCUGMLWNLP,ORD1041,MERCH_STYLEHIVE,5514.65,110.29,19.85,55.15,0.0,5329.36,2026-07-28
stl_MTDKCLUJ,pay_VHXQWLFFPG,ORD1062,MERCH_URBANKART,2024.9,40.5,7.29,20.25,0.0,1956.86,2026-07-18
stl_FBNZEBZC,pay_WGFCCVJAXR,ORD1017,MERCH_URBANKART,4859.52,97.19,17.49,48.6,0.0,4696.24,2026-07-03
stl_TBULECCH,pay_YIHIKDASPU,ORD1056,MERCH_FRESHCART,3670.06,73.4,13.21,36.7,0.0,3546.75,2026-07-12
stl_IVISXXBW,pay_ZWQRHVVXKZ,ORD1026,MERCH_STYLEHIVE,9676.69,193.53,34.84,96.77,0.0,9351.55,2026-07-06
stl_SHBBYOAH,pay_GFULHGNQTM,ORD1021,MERCH_GADGETBAY,2314.76,46.3,8.33,23.15,0.0,2236.98,2026-07-04
stl_DUPNGUZP,pay_MOAYJKPGYV,ORD1016,MERCH_STYLEHIVE,6516.38,130.33,23.46,65.16,0.0,6297.43,2026-07-13
